공종,작업명,단위작업명,기인물,사고건수,단위작업명전체건수,비중(%)
1. 토공사,1.1 굴착 작업,1.1.3 굴착 토사반출,이동식크레인,1,23,4.3
1. 토공사,1.1 굴착 작업,1.1.3 굴착 토사반출,전주,1,23,4.3
1. 토공사,1.1 굴착 작업,1.1.3 굴착 토사반출,토사,1,23,4.3
2. 철근콘크리트공사,2.3 철근 작업,2.3.2 철근 가공 및 운반,개구부(바닥개구부),1,23,4.3
2. 철근콘크리트공사,2.3 철근 작업,2.3.2 철근 가공 및 운반,계단,1,23,4.3
2. 철근콘크리트공사,2.3 철근 작업,2.3.2 철근 가공 및 운반,고소작업대,1,23,4.3
2. 철근콘크리트공사,2.3 철근 작업,2.3.2 철근 가공 및 운반,고정식크레인,1,23,4.3
2. 철근콘크리트공사,2.3 철근 작업,2.3.2 철근 가공 및 운반,굴착기,1,23,4.3
2. 철근콘크리트공사,2.3 철근 작업,2.3.2 철근 가공 및 운반,엘리베이터피트,1,23,4.3
2. 철근콘크리트공사,2.3 철근 작업,2.3.2 철근 가공 및 운반,충전부,1,23,4.3
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.1 판넬 등 외부마감 자재반입,사다리,1,23,4.3
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.1 판넬 등 외부마감 자재반입,슬라브단부,1,23,4.3
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.1 판넬 등 외부마감 자재반입,철골(철골구조물),1,23,4.3
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.1 판넬 등 외부마감 자재반입,트럭,1,23,4.3
7. 도로 및 포장공사,7.2 포설 및 다짐 작업,7.2.1 포설 및 다짐,교통수단,1,23,4.3
7. 도로 및 포장공사,7.2 포설 및 다짐 작업,7.2.1 포설 및 다짐,기타가설구조물,1,23,4.3
7. 도로 및 포장공사,7.2 포설 및 다짐 작업,7.2.1 포설 및 다짐,이동식크레인,1,23,4.3
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",개구부(바닥개구부),3,22,13.6
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",개구부(기타개구부),2,22,9.1
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",계단,2,22,9.1
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",리프트,2,22,9.1
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",슬라브단부,2,22,9.1
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",이동식비계,2,22,9.1
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",지게차,2,22,9.1
4. 마감공사,"4.1 조적, 미장 및 견출작업","4.1.1 조적, 미장 및 견출 자재반입, 운반",고소작업대,1,22,4.5
