공종,작업명,단위작업명,기인물,재해형태,사고건수,단위작업명전체건수,비중(%),기인물 분류(VlookUp),구분(12대 기인물 = 중점관리대상),위험도 순위 (~12위),3년간 사고비중(19~21년)
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,이동식크레인,떨어짐,1,30,3.3,건설기계,12대 기인물,12,2.3%
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,콘크리트펌프카,맞음,1,30,3.3,건설기계,해당없음,해당없음,해당없음
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,트럭,떨어짐,1,30,3.3,건설기계,12대 기인물,9,3.4%
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,기타구조물,끼임,1,30,3.3,기타구조물,해당없음,해당없음,해당없음
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,기타구조물,떨어짐,1,30,3.3,기타구조물,해당없음,해당없음,해당없음
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,"기타자재(내부마감재,시멘트,마대)",끼임,1,30,3.3,"기타자재(내부마감재,시멘트,마대)",해당없음,해당없음,해당없음
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,분류불능,떨어짐,1,30,3.3,분류불능,해당없음,해당없음,해당없음
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,분류불능,원인미상,1,30,3.3,분류불능,해당없음,해당없음,해당없음
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,비계,떨어짐,1,30,3.3,비계,12대 기인물,4,6.9%
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,로울러,떨어짐,1,30,3.3,유해위험기계기구,해당없음,해당없음,해당없음
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,작업발판/가설계단,떨어짐,1,30,3.3,작업발판/가설계단,12대 기인물,4,6.9%
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,토사,떨어짐,1,30,3.3,토사,해당없음,해당없음,해당없음
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),고정식크레인,떨어짐,15,27,55.6,건설기계,해당없음,해당없음,해당없음
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),고정식크레인,깔림 뒤집힘,3,27,11.1,건설기계,해당없음,해당없음,해당없음
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),개구부(바닥개구부),떨어짐,1,27,3.7,개구부,12대 기인물,1,9.0%
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),고정식크레인,끼임,1,27,3.7,건설기계,해당없음,해당없음,해당없음
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),고정식크레인,맞음,1,27,3.7,건설기계,해당없음,해당없음,해당없음
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),고정식크레인,맞음(낙하물체),1,27,3.7,건설기계,해당없음,해당없음,해당없음
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),고정식크레인,무너짐,1,27,3.7,건설기계,해당없음,해당없음,해당없음
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),이동식크레인,끼임,1,27,3.7,건설기계,12대 기인물,12,2.3%
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),"철근콘크리트자재(철근,콘크리트,PC)",깔림 뒤집힘,1,27,3.7,건설자재,해당없음,해당없음,해당없음
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),"기타자재(내부마감재,시멘트,마대)",맞음,1,27,3.7,"기타자재(내부마감재,시멘트,마대)",해당없음,해당없음,해당없음
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),리프트,떨어짐,1,27,3.7,리프트,해당없음,해당없음,해당없음
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,트럭,깔림 뒤집힘,8,26,30.8,건설기계,12대 기인물,9,3.4%
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,로울러,깔림 뒤집힘,6,26,23.1,유해위험기계기구,해당없음,해당없음,해당없음
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,기타건설장비,깔림 뒤집힘,5,26,19.2,건설기계,해당없음,해당없음,해당없음
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,굴착기,깔림 뒤집힘,2,26,7.7,건설기계,12대 기인물,5,4.9%
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,개구부(바닥개구부),떨어짐,1,26,3.8,개구부,12대 기인물,1,9.0%
